Title,Url
"Chaos Seeds, Book 8",https://www.audible.com/author/Aleron-Kong/B0176S6G6A?ref=a_pd_The-La_c1_author_1&pf_rd_p=52918805-f7fc-40f4-a76b-cf1c79f7d10a&pf_rd_r=XTHZZ6BBNXE017FMGQQA
New Era Online book 4,https://www.audible.com/series/New-Era-Online-Audiobooks/B07J1TBVVT
"Prof. Croft, Book 7",https://www.audible.com/series/Prof-Croft-Audiobooks/B01MRKXBEB
"The Valens Legacy, Book 13-14",https://www.audible.com/series/The-Valens-Legacy-Audiobooks/B07C29ZW2M
"Black Ocean: Mercy for Hire Mission Pack, Books 9",https://www.audible.com/series/Black-Ocean-Mercy-for-Hire-Series-Audiobooks/B07KP8K4LS
"Black Ocean: Mercy for Hire Mission Pack, Book 9",https://www.audible.com/series/Black-Ocean-Mercy-for-Hire-Series-Audiobooks/B07KP8K4LS
"Renegade Star, Book 9-10",https://www.audible.com/series/Renegade-Star-Audiobooks/B07BRF5HG9
Book 4,https://www.audible.com/series/Everybody-Loves-Large-Chests-Audiobooks/B07BN9F77V
Tamer 5,https://www.audible.com/series/Tamer-King-of-Dinosaurs-Audiobooks/B07CNBNKP2
"Magic 2.0, Book 7",https://www.audible.com/series/Magic-20-Audiobooks/B00MQ2WZIK
